model,comparison_bit_level,prompt,layer,block_type,seq_len,hidden_dim,total_sq_energy,dim_top5_idx,dim_top5_val,dim_top5_share,dim_uniform_expected_share,dim_concentration_x,token_top5_idx,token_top5_val,token_top5_share,token_uniform_expected_share,token_concentration_x,token_top5_min_position,token_top5_contains_pos0
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,0,attn,335,2048,0.011953730136156082,"146,2023,64,1107,509","0.000189,0.00014,0.000139,6.9e-05,6.1e-05",0.04996261263928472,0.00244140625,20.46468613705102,"329,300,17,83,302","0.000185,0.00013,0.000125,0.000108,0.000105",0.05461224077187613,0.014925373134328358,3.659020131715701,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,0,mlp,335,2048,0.062438588589429855,"1703,894,146,636,1476","0.001191,0.001066,0.000703,0.000592,0.000284",0.06144808436457813,0.00244140625,25.169135355731203,"0,3,102,119,170","0.003808,0.000695,0.000559,0.000521,0.000516",0.09769658912848132,0.014925373134328358,6.545671471608249,0,True
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,1,attn,335,2048,0.07475422322750092,"2023,146,1703,1634,1767","0.002022,0.001298,0.000355,0.000311,0.000299",0.0573137980844269,0.00244140625,23.47573169538126,"102,215,260,295,196","0.000801,0.000706,0.00064,0.000627,0.00061",0.04528216395892814,0.014925373134328358,3.0339049852481854,102,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,1,mlp,335,2048,86.5604476928711,"698,400,2029,1159,1107","22.564678,22.56465,20.252165,18.064356,1.129065",0.9770618715488428,0.00244140625,400.20454258640603,"0,29,190,108,260","86.321838,0.002261,0.002158,0.002018,0.001937",0.9973401261857958,0.014925373134328358,66.82178845444832,0,True
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,2,attn,335,2048,0.16882412135601044,"2023,146,29,509,653","0.003942,0.001856,0.000705,0.000605,0.000541",0.04530347289554481,0.00244140625,18.556302498015153,"271,220,205,218,18","0.00184,0.001822,0.001545,0.001371,0.00132",0.046781543161957685,0.014925373134328358,3.134363391851165,18,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,2,mlp,335,2048,0.5609356164932251,"2023,146,653,1159,14","0.009415,0.004585,0.000762,0.000623,0.000596",0.028490581252368256,0.00244140625,11.669742080970037,"205,6,271,273,260","0.005219,0.004821,0.004029,0.003897,0.003783",0.03877044124081999,0.014925373134328358,2.5976195631349395,6,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,3,attn,335,2048,0.3081618845462799,"146,2023,14,1378,422","0.00428,0.002807,0.000801,0.000798,0.000668",0.030354060831723033,0.00244140625,12.433023316673754,"17,205,211,134,41","0.003002,0.002551,0.00246,0.002289,0.002243",0.040708133993965494,0.014925373134328358,2.727444977595688,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,3,mlp,335,2048,1.0266358852386475,"146,2023,14,1378,519","0.007389,0.004792,0.00117,0.001156,0.000854",0.014963267004147447,0.00244140625,6.128954164898794,"17,205,79,70,18","0.006716,0.006401,0.006278,0.006156,0.00613",0.030858586043316535,0.014925373134328358,2.067525264902208,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,4,attn,335,2048,0.4741736054420471,"146,2023,923,904,691","0.00485,0.004045,0.002683,0.002486,0.001975",0.03382670565570456,0.00244140625,13.855418636576587,"99,89,51,127,70","0.003731,0.003226,0.002968,0.002864,0.002809",0.032893626404140223,0.014925373134328358,2.203872969077395,51,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,4,mlp,335,2048,1.4429993629455566,"146,2023,506,1378,1162","0.012396,0.007533,0.001429,0.001413,0.00128",0.01666697809728672,0.00244140625,6.82679422864864,"17,23,103,24,18","0.010188,0.00839,0.008002,0.007966,0.007946",0.029446744424257706,0.014925373134328358,1.9729318764252664,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,5,attn,335,2048,0.5532119870185852,"146,2023,1107,1366,963","0.014651,0.003674,0.001838,0.001286,0.000907",0.04041166878938069,0.00244140625,16.55261953613033,"171,255,172,80,277","0.00807,0.004128,0.003754,0.003524,0.003465",0.04146958251902173,0.014925373134328358,2.7784620287744564,80,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,5,mlp,335,2048,1.8168672323226929,"146,2023,904,923,1910","0.020047,0.010689,0.006725,0.005982,0.004669",0.02648042290502577,0.00244140625,10.846381221898556,"23,21,99,89,24","0.011079,0.010409,0.010114,0.010067,0.010034",0.02845744176541847,0.014925373134328358,1.9066485982830377,21,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,6,attn,335,2048,0.8479321599006653,"146,2023,1131,604,1366","0.009566,0.008927,0.001551,0.00133,0.001283",0.026719361657692803,0.00244140625,10.944250534990973,"228,89,99,243,251","0.006795,0.006737,0.006031,0.006011,0.005227",0.03632497843200671,0.014925373134328358,2.4337735549444495,89,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,6,mlp,335,2048,2.1615822315216064,"146,2023,1504,444,923","0.03051,0.01682,0.002495,0.002418,0.002055",0.025119130992651603,0.00244140625,10.288796054590097,"103,99,24,23,41","0.015851,0.014571,0.014067,0.014014,0.013313",0.033223913405783796,0.014925373134328358,2.226002198187514,23,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,7,attn,335,2048,0.8788431286811829,"146,2023,189,1285,963","0.0104,0.010084,0.001853,0.001348,0.001232",0.028352171152699838,0.00244140625,11.613049304145854,"252,168,167,224,254","0.008259,0.006491,0.006392,0.006134,0.006052",0.03792187817172471,0.014925373134328358,2.5407658375055555,167,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,7,mlp,335,2048,2.484687566757202,"146,2023,653,386,963","0.0407,0.017388,0.002539,0.002346,0.002292",0.026267165777402273,0.00244140625,10.759031102423972,"103,23,99,41,89","0.020872,0.018209,0.015397,0.013703,0.013702",0.032954622327708925,0.014925373134328358,2.207959695956498,23,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,8,attn,335,2048,1.2389391660690308,"146,2023,1157,189,1312","0.023426,0.013317,0.001835,0.001465,0.001307",0.033375501240020304,0.00244140625,13.670605307912316,"229,235,255,169,216","0.01277,0.011845,0.010606,0.009333,0.009285",0.04345664078379867,0.014925373134328358,2.911594932514511,169,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,8,mlp,335,2048,3.1972765922546387,"146,2023,1159,718,674","0.03944,0.034989,0.002642,0.002568,0.002501",0.02569055570883683,0.00244140625,10.522851618339566,"103,23,24,120,41","0.024376,0.021056,0.019491,0.018835,0.017917",0.03180017672916814,0.014925373134328358,2.1306118408542654,23,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,9,attn,335,2048,1.5098963975906372,"2023,1285,653,604,674","0.052116,0.003166,0.003032,0.002871,0.002722",0.04232567543999339,0.00244140625,17.336596660221293,"172,120,231,235,167","0.013237,0.012962,0.011574,0.011457,0.011211",0.04003031479175353,0.014925373134328358,2.6820310910474863,120,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,9,mlp,335,2048,3.6636171340942383,"2023,1159,519,146,324","0.034894,0.006157,0.003655,0.003527,0.003294",0.014064539158812478,0.00244140625,5.760835239449591,"103,41,120,17,18","0.037495,0.025912,0.025201,0.025195,0.024078",0.03763552200252969,0.014925373134328358,2.521579974169489,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,10,attn,335,2048,1.2381515502929688,"2023,1285,189,604,674","0.04848,0.002491,0.00241,0.002149,0.002016",0.046476948197868594,0.00244140625,19.036957981846975,"124,125,122,119,149","0.016858,0.016125,0.011853,0.011749,0.011706",0.05515532474874759,0.014925373134328358,3.6954067581660888,119,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,10,mlp,335,2048,4.413801670074463,"2023,1159,1285,1042,146","0.039587,0.007816,0.005983,0.005004,0.004983",0.014358015221447012,0.00244140625,5.881043034704696,"17,103,41,18,23","0.045449,0.044292,0.038657,0.037587,0.029794",0.04435604874696062,0.014925373134328358,2.9718552660463615,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,11,attn,335,2048,1.1014561653137207,"2023,604,1932,674,435","0.025168,0.00751,0.006683,0.006593,0.006481",0.04760435394760254,0.00244140625,19.498743376938002,"166,216,165,148,208","0.012305,0.012123,0.011938,0.010465,0.010455",0.05200976367265374,0.014925373134328358,3.4846541660678008,148,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,11,mlp,335,2048,5.206950664520264,"2023,1159,253,64,963","0.036965,0.021786,0.004914,0.004497,0.004485",0.013952031897750199,0.00244140625,5.714752265318482,"41,17,24,18,103","0.054406,0.053437,0.048721,0.048232,0.045373",0.04804502696806626,0.014925373134328358,3.2190168068604392,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,12,attn,335,2048,1.4704959392547607,"2023,1159,146,591,781","0.084369,0.010493,0.005741,0.004003,0.003887",0.07378052430992588,0.00244140625,30.22050275734564,"49,87,120,224,115","0.014206,0.01329,0.01306,0.012743,0.012142",0.04450231159651391,0.014925373134328358,2.981654876966432,49,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,12,mlp,335,2048,7.303647041320801,"2023,1159,253,963,1500","0.068351,0.025532,0.007538,0.007405,0.006387",0.015774565596286132,0.00244140625,6.4612620682388,"24,41,9,17,21","0.090418,0.089452,0.087527,0.082346,0.081583",0.05905626173461946,0.014925373134328358,3.956769536219504,9,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,13,attn,335,2048,1.9511926174163818,"2023,1159,819,253,963","0.028242,0.011346,0.003443,0.003357,0.002435",0.025022509911234198,0.00244140625,10.249220059641527,"62,252,120,24,171","0.023598,0.020976,0.020585,0.020555,0.01963",0.05398977580357519,0.014925373134328358,3.617314978839538,24,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,13,mlp,335,2048,12.094682693481445,"2023,1159,1050,1238,819","0.132748,0.112024,0.015586,0.012041,0.011182",0.0234467489418629,0.00244140625,9.603788366587043,"24,9,21,23,18","0.179756,0.176514,0.15982,0.151517,0.149292",0.0675421135727777,0.014925373134328358,4.525321609376106,9,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,14,attn,335,2048,4.31810188293457,"2023,1159,1511,253,819","0.20075,0.093096,0.014408,0.00952,0.008556",0.07557257206387656,0.00244140625,30.95452551736384,"128,102,252,100,103","0.073611,0.064313,0.063742,0.059263,0.05734",0.0737056641904406,0.014925373134328358,4.93827950075952,100,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,14,mlp,335,2048,18.003429412841797,"1159,2023,1511,454,1050","0.15647,0.147753,0.046633,0.04454,0.040424",0.024207594301482935,0.00244140625,9.91543062588741,"9,21,23,24,18","0.314598,0.311153,0.297636,0.256192,0.255633",0.07971879276811843,0.014925373134328358,5.341159115463935,9,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,15,attn,335,2048,8.919084548950195,"1159,1511,64,604,146","0.28772,0.142382,0.097529,0.093214,0.07756",0.07830459747070732,0.00244140625,32.07356312400172,"18,41,102,21,17","0.093939,0.088773,0.08764,0.083011,0.080458",0.04863970244659677,0.014925373134328358,3.258860063921984,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_02,15,mlp,335,2048,76.21004486083984,"2029,698,400,1159,1511","9.040009,8.306115,5.728619,4.70229,0.34664",0.3690284205540833,0.00244140625,151.15404105895252,"0,9,21,22,23","28.573256,0.989386,0.885951,0.83306,0.765839",0.4205152906651445,0.014925373134328358,28.17452447456468,0,True
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,0,attn,279,2048,0.010923349298536777,"146,2023,64,1107,509","0.000194,0.000132,9.9e-05,8.8e-05,6.2e-05",0.05256257600378281,0.00244140625,21.529631131149436,"52,175,42,17,119","0.000148,0.000127,0.000123,0.000123,0.000123",0.058996344443452586,0.017921146953405017,3.2919960199446545,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,0,mlp,279,2048,0.056302689015865326,"1703,894,146,636,1476","0.001186,0.001042,0.000746,0.000593,0.000293",0.06857641588345573,0.00244140625,28.088899945863467,"0,3,98,96,113","0.003807,0.000699,0.000585,0.00049,0.000472",0.10750156580434175,0.017921146953405017,5.99858737188227,0,True
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,1,attn,279,2048,0.0632743239402771,"2023,146,1703,1910,856","0.001964,0.001397,0.00028,0.000258,0.000248",0.06553333274065604,0.00244140625,26.84245309057271,"146,115,139,166,243","0.000818,0.000696,0.000673,0.000592,0.000576",0.053015575971653225,0.017921146953405017,2.9582691392182503,115,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,1,mlp,279,2048,86.52243041992188,"400,698,2029,1159,1107","22.564331,22.564232,20.25185,18.063971,1.12904",0.9774739900683099,0.00244140625,400.37334633197975,"0,125,107,122,146","86.321831,0.00311,0.001946,0.001886,0.001855",0.9977831993670919,0.017921146953405017,55.676302524683734,0,True
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,2,attn,279,2048,0.13802315294742584,"2023,146,1407,259,1076","0.002877,0.001379,0.000611,0.000539,0.000519",0.04292442049334651,0.00244140625,17.58184263407473,"80,67,18,57,60","0.001676,0.001539,0.001347,0.001307,0.001238",0.05148884659744259,0.017921146953405017,2.873077640137297,18,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,2,mlp,279,2048,0.4596056342124939,"2023,146,14,653,1159","0.005946,0.00397,0.000555,0.000553,0.000544",0.025168659721176625,0.00244140625,10.309083021793946,"6,166,36,125,122","0.004471,0.003682,0.003516,0.003319,0.003177",0.03952144126310498,0.017921146953405017,2.205296422481258,6,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,3,attn,279,2048,0.27180805802345276,"146,2023,14,1131,1942","0.002934,0.001751,0.0005,0.000488,0.000449",0.02252168121835036,0.00244140625,9.224880627036308,"17,79,39,62,38","0.002991,0.002631,0.002587,0.002232,0.0021",0.04613790813196621,0.017921146953405017,2.5744952737637146,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,3,mlp,279,2048,0.8605587482452393,"146,2023,22,124,1291","0.004671,0.003372,0.000798,0.000709,0.0007",0.011911120728048218,0.00244140625,4.87879505020855,"36,17,18,80,39","0.007142,0.00668,0.006216,0.006205,0.005816",0.03725153728620328,0.017921146953405017,2.078635780570143,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,4,attn,279,2048,0.41468459367752075,"146,904,2023,923,691","0.007211,0.002656,0.002507,0.001751,0.001431",0.0375138609843569,0.00244140625,15.365677459192586,"79,80,84,113,234","0.004202,0.003824,0.003794,0.00333,0.003207",0.044265648022286955,0.017921146953405017,2.4700231596436124,79,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_03,4,mlp,279,2048,1.247139573097229,"146,2023,422,627,14","0.010279,0.005308,0.001051,0.001029,0.000993",0.014962157735812266,0.00244140625,6.128499808588704,"80,17,23,46,79","0.011559,0.010309,0.008444,0.008131,0.008088",0.0373097984661288,0.017921146953405017,2.0818867544099873,17,False
